step,seed,avg_eval_return,var_eval_return,mean_eval_success
6000,5,342.37095243930816,751.992817458244,0.0
12000,5,1086.9234008789062,29010.160805610118,0.0
18000,5,1312.3150582313538,13324.187375747013,0.0
24000,5,1388.8369765281677,18946.29991631482,0.2
30000,5,1388.663939809799,166747.42881852365,0.8
36000,5,1774.2009454727172,1185.7848169403483,1.0
42000,5,1975.3417000770569,50399.917019195025,1.0
48000,5,1874.3561961650848,26179.655102188277,1.0
54000,5,2310.2144966602327,8772.913963286077,0.8
60000,5,2078.3510270595552,25423.633540426123,1.0
66000,5,2220.4771268844606,14071.739272250716,0.8
72000,5,2337.1060928344727,12346.856939600011,0.2
78000,5,2303.4148865699767,13286.696247517608,0.8
84000,5,2216.1598182201387,55133.90286833577,1.0
90000,5,987.3475317001343,35259.452581649064,0.0
96000,5,2227.4984897136687,3930.651857162487,0.8
102000,5,2105.573834323883,10512.487435096678,1.0
108000,5,2297.198769950867,43746.48277245363,0.8
114000,5,2335.2345229625703,34190.4625185797,0.8
120000,5,2279.2107121944427,41259.42069891012,1.0
126000,5,2532.7183863162995,2274.742496461127,0.4
132000,5,2523.670091485977,28076.24663538262,1.0
138000,5,2449.808703994751,21433.115641912565,1.0
144000,5,2498.1565140724183,1273.6940196515718,1.0
