step,seed,avg_eval_return,var_eval_return,mean_eval_success
6000,10,342.37095243930816,751.992817458244,0.0
12000,10,1251.0464327335358,12840.077470087323,0.0
18000,10,1063.4888141155243,65082.96184575837,0.0
24000,10,1167.9827453136445,33853.93315892436,0.0
30000,10,1389.9385372161864,12425.394162740358,0.0
36000,10,1560.1329823493957,9915.566579765462,0.0
42000,10,1562.915897846222,9219.6406714926,0.0
48000,10,1557.4134774684906,10475.323548888977,0.0
54000,10,1577.3836678981781,1718.1799169599035,0.0
60000,10,1567.997008752823,4502.482703562664,0.0
66000,10,1569.1549078941346,2638.703286641344,0.0
72000,10,1547.4587461948395,655.7388404039993,0.0
78000,10,1123.3079024791718,239537.7596656866,0.0
84000,10,1611.386920261383,6442.511361907001,0.0
90000,10,1600.0781088352203,1026.6748557846145,0.0
96000,10,1445.6957463264466,8548.119830219115,0.0
102000,10,1588.5823928356172,1024.7427242540205,0.0
108000,10,678.3343424797058,12693.831826391044,0.0
114000,10,1588.5902193546294,1244.1713375233712,0.0
120000,10,1511.537614774704,6326.913445209862,0.0
126000,10,1549.3581099510193,2770.249442890421,0.0
132000,10,1592.211613368988,2998.362010744359,0.0
138000,10,1581.954456949234,11405.297084954333,0.0
144000,10,1472.6356971263885,15884.088615190845,0.0
