step,seed,avg_eval_return,var_eval_return,mean_eval_success
6000,0,342.37095243930816,751.992817458244,0.0
12000,0,1357.7364916324616,84154.8946995179,0.0
18000,0,1430.5999765872955,5846.867509725825,0.0
24000,0,1458.5330797672273,7419.2645120486795,0.0
30000,0,1423.2970830917359,539.3234617338821,0.0
36000,0,1466.4773809432984,928.225493362983,0.0
42000,0,1383.859508228302,2987.546676837834,0.0
48000,0,1452.98614153862,984.8026002854627,0.0
54000,0,1414.0699637413024,1895.8283691397169,0.0
60000,0,1461.3337062358855,972.2105463663729,0.0
66000,0,1367.7314651489257,1673.9520779741595,0.0
72000,0,1364.8040481567382,8383.966317908338,0.0
78000,0,1390.7542285442353,6295.073807613097,0.0
84000,0,1159.6427573204041,84424.86024345105,0.0
90000,0,1380.168309879303,5452.135865533027,0.0
96000,0,1485.0473125457763,659.7316276206991,0.0
102000,0,1374.9094833374024,3564.172279711538,0.0
108000,0,1477.9822002410888,7841.986106320258,0.0
114000,0,1492.2239632606506,4600.337560215049,0.0
120000,0,1469.8943563461303,3059.9120927813715,0.0
126000,0,1519.3591441631318,1488.1348315950247,0.0
132000,0,1536.2773863315583,722.6065836784667,0.0
138000,0,1578.905304813385,4216.625258754849,0.0
144000,0,1486.4036334991456,641.3399289735852,0.0
