step,seed,avg_eval_return,var_eval_return,mean_eval_success
6000,0,419.7065799713135,2550.1202211073182,0.0
12000,0,313.6235493183136,2534.755639458222,0.0
18000,0,1014.2447781085968,22303.375550734952,0.0
24000,0,1361.6913579463958,7879.604012167811,0.0
30000,0,1406.859187221527,14604.477849061108,0.0
36000,0,1471.714172267914,8547.921893295323,0.0
42000,0,1518.2838171005249,5889.738123835022,0.0
48000,0,1522.2046518802642,5183.565634388399,0.0
54000,0,1529.4646283626557,2002.4804615416604,0.0
60000,0,1365.1360988140107,11580.341134987126,0.0
66000,0,1468.539884853363,7131.207904311242,0.0
72000,0,1579.482272052765,1308.4915036547768,0.0
78000,0,1467.9306446075439,7867.663370742423,0.0
84000,0,1533.1345890998841,7075.92115652032,0.0
90000,0,1588.5382400512694,1507.6811682693124,0.0
96000,0,1559.7425719261169,5630.532698657261,0.0
102000,0,1600.87646856308,596.5582945785552,0.0
108000,0,1609.9527003765106,41.98585142374,0.0
114000,0,1625.2619243144989,10.4124341752465,0.0
120000,0,1650.032968854904,1144.9594516956613,0.0
126000,0,1619.8545142173766,175.92848471164828,0.0
132000,0,1597.6939415931702,3391.157555603868,0.0
138000,0,1652.507675743103,73.0897850026712,0.0
144000,0,1624.3224767684937,2979.292596405067,0.0
