step,seed,avg_eval_return,var_eval_return,mean_eval_success
6000,5,419.7065799713135,2550.1202211073182,0.0
12000,5,1022.8573255062104,26663.05848471464,0.0
18000,5,1307.092566537857,11709.610242933664,0.0
24000,5,1406.4267986774444,5071.319413487548,0.0
30000,5,1373.8217878818512,10048.47908468132,0.0
36000,5,1455.4423974514007,1280.921427498463,0.0
42000,5,1076.6317041397094,80182.2223012897,0.0
48000,5,1577.194812297821,2137.840055814462,0.0
54000,5,1387.9628405570984,411.5531859750301,0.0
60000,5,1409.9732971191406,353.1442820784563,0.0
66000,5,1351.1676665067673,11982.12889791256,0.0
72000,5,1422.1590546607972,4326.727437225169,0.0
78000,5,1433.026806640625,25199.43917231039,0.0
84000,5,1499.378564929962,3441.6896396320235,0.0
90000,5,1435.2841073513032,8368.197170859603,0.0
96000,5,1544.2518127441406,2827.5866274887844,0.0
102000,5,1605.7512708187103,13872.13714097394,0.8
108000,5,2125.77932972908,34755.40810170137,1.0
114000,5,2450.1105024814606,145.2517570436133,1.0
120000,5,1938.9612083911895,88980.23235565753,1.0
126000,5,2252.9897285461425,80707.15090725616,0.8
132000,5,2132.9497550010683,436144.4578382166,0.8
138000,5,2191.5819465637205,140995.34127144775,1.0
144000,5,2576.588510131836,22881.763034264433,1.0
