step,seed,avg_eval_return,var_eval_return,mean_eval_success
6000,10,419.7065799713135,2550.1202211073182,0.0
12000,10,900.2320533275604,32905.26275007924,0.0
18000,10,1206.46288728714,831.8918106351202,0.0
24000,10,1229.792257976532,10546.096895534727,0.0
30000,10,1314.783796787262,8182.016010143968,0.0
36000,10,1347.833240032196,15079.078880235376,0.0
42000,10,1351.7446937084198,49502.78083453212,0.0
48000,10,1440.381170463562,2708.611891278619,0.0
54000,10,1548.9112424850464,1457.756265420822,0.0
60000,10,1410.3501849651336,25041.78599237998,0.0
66000,10,1285.957761144638,46310.6589780094,0.0
72000,10,1429.253613615036,2844.450478869926,0.0
78000,10,1313.808259677887,13651.501540833964,0.0
84000,10,1374.2367922306062,34578.39630006014,0.0
90000,10,1450.6877001285552,9087.324269742032,0.0
96000,10,1268.0860264778137,31497.095885584087,0.0
102000,10,1524.450373983383,11448.606475265085,0.0
108000,10,1333.373641872406,24673.183741266952,0.0
114000,10,1426.310481405258,29206.383093532266,0.0
120000,10,1458.9851349830628,14507.955250382542,0.2
126000,10,1436.5134411811828,8858.827774199206,0.0
132000,10,1514.5074486732483,50778.54878248166,0.0
138000,10,1556.1792367458343,32577.249088116347,0.0
144000,10,1485.1515673160552,7020.798413146435,0.0
