step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,2024,117.51539431810379,184.63961764314575,5,0.0
12000,2024,84.74785470962524,527.2694662287994,5,0.0
18000,2024,161.78536921739578,426.01674455023306,5,0.0
24000,2024,136.4860319495201,528.7955984601308,5,0.0
30000,2024,168.23198367357253,244.6077308922873,5,0.0
36000,2024,183.357799243927,2533.930873975705,5,0.0
42000,2024,171.78103189468385,2239.695549449263,5,0.2
48000,2024,172.74238002300262,156.11569148579844,5,0.0
54000,2024,171.2738914370537,356.1499978618821,5,0.0
60000,2024,165.43212274312972,1754.0988606209228,5,0.0
66000,2024,176.36689797639846,646.9441258165932,5,0.0
72000,2024,166.95569660663605,212.8178292954171,5,0.0
78000,2024,173.763148522377,12.490897165294907,5,0.0
84000,2024,276.67939594984057,52894.21612838783,5,0.0
90000,2024,172.2708545088768,2554.495271257352,5,0.0
96000,2024,133.535822224617,748.7402104124363,5,0.0
102000,2024,173.47038099765777,247.51052878928056,5,0.0
108000,2024,951.1164996385575,182753.75298184922,5,1.0
114000,2024,409.43336285948754,42042.7926319823,5,0.4
120000,2024,360.85454946756363,235687.9607117616,5,0.2
126000,2024,259.75207869410514,46947.25236142481,5,0.2
132000,2024,304.53408616185186,139051.54988736508,5,0.2
138000,2024,882.7341161191464,594516.7335791939,5,0.6000000000000001
144000,2024,475.45669128894804,201288.66151009654,5,0.4
