step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,123,135.2393181324005,770.707102326743,5,0.0
12000,123,152.38977847099304,857.1076806633173,5,0.0
18000,123,154.7689490556717,167.4319281449367,5,0.0
24000,123,166.47052731513978,560.3234854755913,5,0.0
30000,123,143.4699900150299,1461.2027883442092,5,0.0
36000,123,149.5697905421257,64.66602909023307,5,0.0
42000,123,317.1604788064957,114632.93273043798,5,0.2
48000,123,234.8868072271347,7702.466554778337,5,0.4
54000,123,383.20594695806506,85040.92417876703,5,0.4
60000,123,177.09684262275695,7039.140173171703,5,0.2
66000,123,513.1665051877499,183870.99261321113,5,0.8
72000,123,331.93616832494735,51247.231357039076,5,0.4
78000,123,494.44270728826524,138271.03393027262,5,0.4
84000,123,578.723258459568,336483.00922671694,5,0.4
90000,123,477.85416784882545,191774.75967733155,5,0.2
96000,123,553.4165248453617,206249.77632410545,5,0.6000000000000001
102000,123,588.0858179092407,467785.3667698637,5,0.4
108000,123,856.5038747191429,515719.8064468099,5,0.6000000000000001
114000,123,1008.5600270271301,423677.64791159396,5,0.8
120000,123,830.50805478096,731963.790121511,5,0.4
126000,123,420.17696331739427,216550.04815394228,5,0.2
132000,123,739.4956354677677,560430.4700888409,5,0.6000000000000001
138000,123,844.6099733203649,678272.4418672527,5,0.6000000000000001
144000,123,1053.9102671027183,250076.23154490557,5,0.8
