step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,456,121.93347052931786,1028.9465772698638,5,0.0
12000,456,114.04514679312706,2149.02341490231,5,0.2
18000,456,159.49429886341096,108.42828997109129,5,0.0
24000,456,321.59457550644873,74349.25325950808,5,0.4
30000,456,156.10675040483474,84.04538098703611,5,0.0
36000,456,1509.1555426359178,755587.2420429812,5,0.8
42000,456,529.1485284864902,589224.1786890327,5,0.2
48000,456,160.49554506540298,440.18027268526447,5,0.0
54000,456,1629.9663421988487,659616.1390352965,5,0.8
60000,456,2017.8053191423417,185255.96923485014,5,1.0
66000,456,1661.8651383757592,358529.9216110325,5,1.0
72000,456,1081.1203456878661,946353.0146627659,5,0.6000000000000001
78000,456,1625.842336332798,841497.9864895942,5,0.8
84000,456,1925.725231218338,1006521.8855639085,5,0.8
90000,456,1914.064977157116,486812.3203174405,5,1.0
96000,456,1793.4216892004013,394181.436331673,5,1.0
102000,456,2061.344514334202,86701.74135889499,5,1.0
108000,456,1852.7360894918443,276608.55245506985,5,1.0
114000,456,2007.7130966424943,137871.65188880893,5,1.0
120000,456,1983.7646478414536,195823.08579418203,5,1.0
126000,456,2127.66643191576,311357.5897311909,5,1.0
132000,456,2324.4159517765047,25412.237953031316,5,1.0
138000,456,1824.2181020498276,121330.56541287579,5,1.0
144000,456,1763.9447028279305,785222.2375982183,5,0.8
