step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,0,175.68975972834488,96885.79471388298,4,9.914474959312145,0.2
12000,0,622.5,1550025.0,4,0.0,0.2
18000,0,2299.8945634661845,571502.4592342284,4,0.015879325734481205,0.8
24000,0,2754.566548407078,7807.873669806367,4,12.785764827392995,0.8
30000,0,2847.5,25.0,4,2790.0,1.0
36000,0,2835.2420313730836,30.240588655949995,4,2824.7321100234985,1.0
42000,0,2830.0,66.66666666666667,4,2820.0,1.0
48000,0,2840.0,0.0,4,2830.0,1.0
54000,0,2840.0,0.0,4,2820.0,1.0
60000,0,2837.5,25.0,4,2830.0,1.0
66000,0,2805.0,900.0,4,2660.0,1.0
72000,0,2835.0,33.333333333333336,4,2830.0,1.0
78000,0,2837.5,91.66666666666667,4,2820.0,1.0
84000,0,2822.5,425.0,4,2220.0343843773007,1.0
90000,0,2840.0,0.0,4,2830.0,1.0
96000,0,2840.0,0.0,4,2840.0,1.0
102000,0,2842.5,25.0,4,2840.0,1.0
108000,0,2852.5,91.66666666666667,4,2840.0,1.0
114000,0,2842.5,25.0,4,2820.0,1.0
120000,0,2845.0,33.333333333333336,4,2820.0,1.0
126000,0,2845.0,33.333333333333336,4,2820.0,1.0
132000,0,2852.5,25.0,4,2840.0,1.0
138000,0,2852.5,91.66666666666667,4,2840.0,1.0
144000,0,2860.0,0.0,4,2840.0,1.0
150000,0,2860.0,0.0,4,2860.0,1.0
156000,0,2860.0,0.0,4,2830.0,1.0
162000,0,2860.0,0.0,4,2830.0,1.0
