step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,2024,1.3764213101015366,0.31868716635922806,4,0.1638634489826245,0.0
12000,2024,2759.667593234961,34554.91873770875,4,134.34789676778018,1.0
18000,2024,2860.0,0.0,4,2860.0,1.0
24000,2024,2860.9030816257,1.182309373700362,4,2322.107874393463,1.0
30000,2024,775.0,1944900.0,4,0.0,0.4
36000,2024,1542.5,2348158.3333333335,4,0.0,0.6000000000000001
42000,2024,2860.0,0.0,4,2860.0,1.0
48000,2024,2860.0,0.0,4,2830.0,1.0
54000,2024,2657.5,74825.0,4,1750.0,1.0
60000,2024,2860.0,0.0,4,2860.0,1.0
66000,2024,1163.3672802803796,1603910.6137875381,4,90.0,1.0
72000,2024,855.0,1538966.6666666667,4,0.0,0.4
78000,2024,470.0,883600.0,4,0.0,0.2
84000,2024,2277.501977443695,1250949.4875841786,4,0.0,0.8
90000,2024,1162.5,1927491.6666666667,4,0.0,0.6000000000000001
96000,2024,2377.5,218091.66666666666,4,150.0,1.0
102000,2024,2855.0,100.0,4,2820.0,1.0
108000,2024,2855.0,100.0,4,2815.948119163513,1.0
114000,2024,2600.369007951569,65215.89957708394,4,1484.8950867554552,1.0
120000,2024,2840.0,466.6666666666667,4,2490.0,1.0
126000,2024,2457.5,222891.66666666666,4,620.001270257635,1.0
132000,2024,2792.5,6958.333333333333,4,190.0,1.0
138000,2024,2857.5,25.0,4,2840.0,1.0
144000,2024,2857.5,25.0,4,2850.0,1.0
