step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,123,425.8051167349331,260635.90500727764,4,0.345442629281024,0.6000000000000001
12000,123,2855.0,100.0,4,2840.0,1.0
18000,123,2860.0,0.0,4,2860.0,1.0
24000,123,2857.5,25.0,4,2840.0,1.0
30000,123,2847.5,91.66666666666667,4,2830.9858655929565,1.0
36000,123,2117.1855913644918,699012.2523624753,4,252.1644841274932,1.0
42000,123,1965.0606174319785,940872.4180095373,4,8.864046252697027e-15,0.8
48000,123,1597.368258192936,2032140.2638605607,4,1.4259278521136304e-20,0.6000000000000001
54000,123,2851.6309593841434,208.45505787132274,4,2778.0741424560547,1.0
60000,123,2765.392908969341,9576.943939932855,4,2360.125181928277,1.0
66000,123,2594.161829000339,220337.00387717655,4,1653.7292578220367,1.0
72000,123,2856.486555866897,111.03099719733378,4,2825.831492483616,1.0
78000,123,2833.9637200420257,22.514710964250394,4,2820.2100329636305,1.0
84000,123,2829.5955593958497,323.8069360226402,4,2096.8171206712746,1.0
90000,123,2089.5427724026963,1938318.776694511,4,2.0324345454596444,0.6000000000000001
96000,123,2857.3621703237295,123.79938993955392,4,2832.3161664009094,1.0
102000,123,2859.9131871908903,58.39630079158787,4,2843.496465474367,1.0
108000,123,2836.9631239511073,10.340903651858486,4,2832.387813925743,1.0
114000,123,2814.8589304873603,36.88878552141542,4,2804.421502355486,1.0
120000,123,2830.8358278870583,391.2187103162077,4,2799.5862708091736,1.0
126000,123,2832.6312633752823,54.70610446905649,4,2626.9951466321945,1.0
132000,123,2815.411586579212,22.148911910902342,4,2803.221081782249,1.0
138000,123,2332.5274382907037,290551.603696351,4,10.495244148244169,1.0
144000,123,2829.62104856316,161.1773265395182,4,2805.493907606229,1.0
