step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,456,13.799559531303004,267.3200040202428,4,2.400294157535674,0.0
12000,456,0.0,0.0,4,0.0,0.0
18000,456,0.0,0.0,4,0.0,0.0
24000,456,2282.5,57691.666666666664,4,1920.0,1.0
30000,456,2860.0,0.0,4,2840.0,1.0
36000,456,2777.5,11091.666666666666,4,2150.0,1.0
42000,456,2810.0,2866.6666666666665,4,2540.0,1.0
48000,456,2803.361067071557,555.1748315139862,4,2770.0,1.0
54000,456,2840.0,200.0,4,2770.0,1.0
60000,456,2780.0,9533.333333333334,4,2450.0,1.0
66000,456,2647.5,60425.0,4,2280.0,1.0
72000,456,2810.0,1000.0,4,2690.0,1.0
78000,456,2780.2128570585046,763.6743335266847,4,2370.049196668251,1.0
84000,456,2750.610900742344,105.75944845291394,4,2730.6676751077175,1.0
90000,456,2834.3980153501034,2071.3273773289698,4,2737.495461702347,1.0
96000,456,2777.796092995708,3065.350997707333,4,2627.8184558153152,1.0
102000,456,2748.9354815225693,134.89740586964376,4,2652.143329345141,1.0
108000,456,2794.4052034763154,4404.460945180966,4,2593.803907737487,1.0
114000,456,2792.3620963711437,2425.395648946734,4,2580.0028316097814,1.0
120000,456,2772.821566950006,274.15604266460485,4,2744.39189651981,1.0
126000,456,2800.980879545212,954.8877906601375,4,2750.0424946919084,1.0
132000,456,2800.75124159397,3437.254561657823,4,2745.0807821154594,1.0
138000,456,2783.4307103157043,2174.230976450394,4,2720.290762901306,1.0
144000,456,2792.6020686638512,3028.3460742076,4,704.6644896610313,1.0
