step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,789,5.533157321528255,2.813354939899663,4,1.2736726609310576,0.0
12000,789,2790.0,200.0,4,2730.0,1.0
18000,789,2802.5,491.6666666666667,4,0.0,0.8
24000,789,2825.0,33.333333333333336,4,2810.0000055946007,1.0
30000,789,2543.049506047984,111356.76260500967,4,1506.9618581533432,1.0
36000,789,2838.3265218238216,46.96147935365107,4,1880.633459960889,1.0
42000,789,2844.6758804402784,18.794886951612405,4,2346.8316720493403,1.0
48000,789,2828.0812239031075,881.8244404503952,4,2780.143001794815,1.0
54000,789,2703.884755948464,24733.02457934943,4,2402.056128144264,1.0
60000,789,2840.862296948857,34.9243007682849,4,2826.563193500042,1.0
66000,789,2847.1296379305422,21.259606516576145,4,2834.2490211725235,1.0
72000,789,2841.4280538260937,0.3889974929258469,4,2602.9265854656696,1.0
78000,789,2851.8379825800657,0.11757730015172611,4,2832.2873564958572,1.0
84000,789,2854.514835983515,33.97942092709012,4,2850.950239956379,1.0
90000,789,2851.9216912142,43.175437461974006,4,2840.921966791153,1.0
96000,789,2855.0,33.333333333333336,4,2850.0,1.0
102000,789,2855.0,33.333333333333336,4,2850.0,1.0
108000,789,2857.8930338174105,20.948622469530164,4,2850.0,1.0
114000,789,2848.878821283579,105.03750598738576,4,2640.658472347337,1.0
120000,789,2860.224715426564,0.20198809174375132,4,2850.9886326789856,1.0
126000,789,2851.019589662552,0.001737524903468568,4,2850.0,1.0
132000,789,2857.7216275930405,26.673992446924085,4,2850.0,1.0
138000,789,2855.4267116338015,33.810684557813694,4,2850.0,1.0
144000,789,2852.7656309604645,23.51136615886594,4,2840.9985769987106,1.0
