step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,0,688.0080712850015,1675099.8716100117,4,10.001546370693342,0.2
12000,0,2.46734937482662,3.110128913989444,4,1.0080234046920258,0.0
18000,0,2855.0,100.0,4,2840.0,1.0
24000,0,2512.5,56091.666666666664,4,1940.0,1.0
30000,0,2842.5,25.0,4,2840.0,1.0
36000,0,2840.659920707345,0.19930175777974166,4,2840.0,1.0
42000,0,2841.7443805783987,0.23836080218469244,4,2841.0146265029907,1.0
48000,0,2841.1818857342005,0.06958616621124818,4,2840.9819688796997,1.0
54000,0,2843.505134552717,24.91027259211852,4,2840.9586285352707,1.0
60000,0,2828.501395970583,358.2005905777892,4,2721.0624183416367,1.0
66000,0,2840.734162732959,0.24054538507987258,4,1911.0284359455109,1.0
72000,0,2846.0008722394705,32.876371303869156,4,2840.956847190857,1.0
78000,0,2841.0009194761515,66.59535618434023,4,2761.0564303398132,1.0
84000,0,2836.0488157868385,33.260973820581334,4,2781.05645942688,1.0
90000,0,2843.5152043253183,25.270229656459467,4,2721.0593585968018,1.0
96000,0,2837.5,25.0,4,2810.0,1.0
102000,0,2842.7372750639915,23.64336406402512,4,2840.0,1.0
108000,0,2717.5,35491.666666666664,4,2020.0,1.0
114000,0,2539.1411206871285,24355.42744059148,4,2307.543404109776,1.0
120000,0,2507.109125925228,160405.12908852834,4,2051.8783327937126,1.0
126000,0,2817.5,2025.0,4,920.0,1.0
132000,0,2842.5,25.0,4,2840.0,1.0
138000,0,2805.0,5100.0,4,2550.0,1.0
144000,0,2852.5,91.66666666666667,4,2840.0,1.0
150000,0,2860.0,0.0,4,2850.0,1.0
156000,0,2855.0,33.333333333333336,4,2160.0,1.0
162000,0,2857.5,25.0,4,2780.0,1.0
168000,0,2860.0,0.0,4,2860.0,1.0
