step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,123,124.45990835428238,816.1553049748746,5,0.0
12000,123,124.09137877225876,161.58606867573212,5,0.0
18000,123,388.408611702919,166119.59920448362,5,0.4
24000,123,136.0667708516121,475.20725059474404,5,0.0
30000,123,120.25677652359009,118.59263482679953,5,0.0
36000,123,173.75149581432342,60.8149140554749,5,0.0
42000,123,160.67665073871612,1039.3861705081258,5,0.0
48000,123,707.7081884026527,588550.2268480376,5,0.4
54000,123,647.7939505577087,136881.86291353384,5,0.8
60000,123,148.56529140472412,1118.292448385131,5,0.0
66000,123,1524.7956165492535,648264.742829255,5,0.8
72000,123,1290.84055621624,1121493.2475759317,5,0.6000000000000001
78000,123,2390.641297066212,11779.898102709038,5,1.0
84000,123,1996.653187072277,127017.63023813273,5,0.8
90000,123,2016.1621309697628,311073.46584634803,5,0.8
96000,123,1384.949861061573,583011.4082107767,5,0.8
102000,123,1875.1544822335243,254768.05811066227,5,1.0
108000,123,1725.4259115219115,536028.0009385886,5,1.0
114000,123,2257.0666897773744,105741.07929720914,5,1.0
120000,123,2256.5205652832983,74129.4202188204,5,1.0
126000,123,2365.770758807659,15903.422596804045,5,1.0
132000,123,2258.713919210434,37811.82268856813,5,1.0
138000,123,2087.3748731970786,399567.81156448845,5,1.0
144000,123,2260.9606508135794,25902.759463557326,5,1.0
