step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,789,117.42339022159577,484.710058929672,5,0.0
12000,789,160.48687488436698,531.7175715459011,5,0.0
18000,789,165.23807861804963,1436.9218625560918,5,0.0
24000,789,126.13080210089683,1753.2577322033335,5,0.2
30000,789,119.66079371571541,457.49037321214314,5,0.0
36000,789,158.30925939679145,1204.622833635505,5,0.0
42000,789,295.80418956279755,103631.29868607552,5,0.2
48000,789,547.5736392319202,324257.9669205004,5,0.4
54000,789,187.5171339094639,26590.767493855834,5,0.2
60000,789,395.4044201374054,157714.94642734184,5,0.4
66000,789,635.6516950011253,765053.5427258862,5,0.4
72000,789,559.3097711086273,1100614.3114002373,5,0.2
78000,789,114.12260681390762,1078.6681837332767,5,0.0
84000,789,119.74836488962174,789.5411961908655,5,0.0
90000,789,358.48678864836694,258877.71309608803,5,0.2
96000,789,553.074368673563,537593.8243653683,5,0.4
102000,789,721.7975251555442,454875.53773412993,5,0.6000000000000001
108000,789,758.7377555847168,294906.6929976374,5,0.8
114000,789,679.3604036003351,385407.9509645655,5,0.6000000000000001
120000,789,829.4638980150223,137448.71896863412,5,1.0
126000,789,586.4948875069618,128895.75073190237,5,0.8
132000,789,1138.2360036492348,704013.4718792117,5,0.8
138000,789,1128.6494536995888,525868.710002921,5,0.8
144000,789,989.8826882958413,116984.01777196882,5,1.0
