step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,2024,120.84456789493561,160.1947367639156,5,0.0
12000,2024,87.09885334968567,418.1850075511993,5,0.0
18000,2024,165.61263748407364,117.41910369781114,5,0.0
24000,2024,146.13411625623704,7485.724478363268,5,0.2
30000,2024,240.57829350829124,106582.46082181533,5,0.2
36000,2024,545.727895283699,299678.69814974815,5,0.4
42000,2024,660.5425956726074,185091.22257071122,5,0.8
48000,2024,876.7314990639686,354050.4862401448,5,0.8
54000,2024,877.0533215165138,187204.76687449525,5,0.6000000000000001
60000,2024,1568.234609925747,761745.376713983,5,0.8
66000,2024,975.6204997301102,503149.03337600466,5,0.8
72000,2024,1778.594858467579,217934.5121988439,5,1.0
78000,2024,1801.3967697262765,217638.90708416907,5,1.0
84000,2024,1529.2871451377869,1285106.411873761,5,0.8
90000,2024,1803.2241239905356,198991.43641458955,5,1.0
96000,2024,1962.9959158301353,24325.313074515907,5,1.0
102000,2024,1670.0726996541023,735884.8267316106,5,0.8
108000,2024,1375.9715012192726,1072729.171780259,5,0.8
114000,2024,1485.4771518170833,1506105.2893274631,5,0.6000000000000001
120000,2024,1606.1074419021606,746350.0520842588,5,0.8
126000,2024,1425.0428501904012,905072.9781975464,5,0.8
132000,2024,1681.181433749199,895152.3747460723,5,0.8
138000,2024,1173.4914447546005,1119798.4148686852,5,0.4
144000,2024,1862.1602705717087,972282.5154470006,5,0.8
